"Country","Transaction","TIME","Year","Unit","PowerCode","GDP"
"3895","Germany","Taxes less subsidies on products",2008,2008,"Euro","millions",256380.75
"3897","Germany","Taxes less subsidies on products",2010,2010,"Euro","millions",258892
"3899","Germany","Taxes less subsidies on products",2012,2012,"Euro","millions",267927.33
"3901","Germany","Taxes less subsidies on products",2014,2014,"Euro","millions",274554.97
"3903","Germany","Gross domestic product (expenditure approach)",2009,2009,"Euro","millions",2474974.55
"3905","Germany","Gross domestic product (expenditure approach)",2011,2011,"Euro","millions",2668706.3
"3907","Germany","Gross domestic product (expenditure approach)",2013,2013,"Euro","millions",2681587.4
"3909","Germany","Statistical discrepancy",2008,2008,"Euro","millions",-218.26
"3911","Germany","Statistical discrepancy",2010,2010,"Euro","millions",0
"3913","Germany","Statistical discrepancy",2012,2012,"Euro","millions",109.91
"3915","Germany","Statistical discrepancy",2014,2014,"Euro","millions",-55.59
"3917","Germany","Gross capital formation",2009,2009,"Euro","millions",448176.15
"3919","Germany","Gross capital formation",2011,2011,"Euro","millions",540336.75
"3921","Germany","Gross capital formation",2013,2013,"Euro","millions",502104.19
"3923","Germany","of which: Actual individual consumption",2008,2008,"Euro","millions",1737117
"3925","Germany","of which: Actual individual consumption",2010,2010,"Euro","millions",1760889
"3927","Germany","of which: Actual individual consumption",2012,2012,"Euro","millions",1811074.34
"3929","Germany","of which: Actual individual consumption",2014,2014,"Euro","millions",1848405.18
"3931","Germany","External balance of goods and services",2009,2009,"Euro","millions",104174.1
"3933","Germany","External balance of goods and services",2011,2011,"Euro","millions",152470.87
"3935","Germany","External balance of goods and services",2013,2013,"Euro","millions",172827
"3937","Germany","Statistical discrepancy",2008,2008,"Euro","millions",-1000.59
"3939","Germany","Statistical discrepancy",2010,2010,"Euro","millions",0
"3941","Germany","Statistical discrepancy",2012,2012,"Euro","millions",-160.67
"3943","Germany","Statistical discrepancy",2014,2014,"Euro","millions",-1458.56
"3945","Germany","Agriculture, forestry and fishing (ISIC rev4)",2009,2009,"Euro","millions",22573.51
"3947","Germany","Agriculture, forestry and fishing (ISIC rev4)",2011,2011,"Euro","millions",14790.25
"3949","Germany","Agriculture, forestry and fishing (ISIC rev4)",2013,2013,"Euro","millions",16576.34
"3951","Germany","Dwellings",2008,2008,"Euro","millions",132213.2
"3953","Germany","Dwellings",2010,2010,"Euro","millions",133266
"3955","Germany","Dwellings",2012,2012,"Euro","millions",151536.77
"3957","Germany","Dwellings",2014,2014,"Euro","millions",158293.35
"3959","Germany","Other buildings and structures",2009,2009,"Euro","millions",102080.06
"3961","Germany","Other buildings and structures",2011,2011,"Euro","millions",110305.46
"3963","Germany","Other buildings and structures",2013,2013,"Euro","millions",105974.66
"3965","Germany","Industry, including energy (ISIC rev4)",2008,2008,"Euro","millions",606942.41
"3967","Germany","Industry, including energy (ISIC rev4)",2010,2010,"Euro","millions",594517
"3969","Germany","Industry, including energy (ISIC rev4)",2012,2012,"Euro","millions",637797.84
"3971","Germany","Industry, including energy (ISIC rev4)",2014,2014,"Euro","millions",647607.37
"3973","Germany","Construction (ISIC rev4)",2009,2009,"Euro","millions",93406.63
"3975","Germany","Construction (ISIC rev4)",2011,2011,"Euro","millions",104579.62
"3977","Germany","Construction (ISIC rev4)",2013,2013,"Euro","millions",104358.38
"3979","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2008,2008,"Euro","millions",398845.97
"3981","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2010,2010,"Euro","millions",370916
"3983","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2012,2012,"Euro","millions",376776.47
"3985","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2014,2014,"Euro","millions",382191.85
"3987","Germany","Information and communication (ISIC rev4)",2009,2009,"Euro","millions",102535.71
"3989","Germany","Information and communication (ISIC rev4)",2011,2011,"Euro","millions",114090.77
"3991","Germany","Information and communication (ISIC rev4)",2013,2013,"Euro","millions",121482.31
"3993","Germany","Intellectual property product",2008,2008,"Euro","millions",84184.8
"3995","Germany","Intellectual property product",2010,2010,"Euro","millions",86149
"3997","Germany","Intellectual property product",2012,2012,"Euro","millions",92119.13
"3999","Germany","Intellectual property product",2014,2014,"Euro","millions",94470.99
"4001","Germany","Financial and insurance activities (ISIC rev4)",2009,2009,"Euro","millions",103029.55
"4003","Germany","Financial and insurance activities (ISIC rev4)",2011,2011,"Euro","millions",106430.77
"4005","Germany","Financial and insurance activities (ISIC rev4)",2013,2013,"Euro","millions",106969.48
"4007","Germany","Real estate activities (ISIC rev4)",2008,2008,"Euro","millions",266829.04
"4009","Germany","Real estate activities (ISIC rev4)",2010,2010,"Euro","millions",269008
"4011","Germany","Real estate activities (ISIC rev4)",2012,2012,"Euro","millions",272585.81
"4013","Germany","Real estate activities (ISIC rev4)",2014,2014,"Euro","millions",277374.15
"4015","Germany","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2009,2009,"Euro","millions",235625.63
"4017","Germany","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2011,2011,"Euro","millions",250609.73
"4019","Germany","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2013,2013,"Euro","millions",254435.46
"4021","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2008,2008,"Euro","millions",400399.61
"4023","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2010,2010,"Euro","millions",414707
"4025","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2012,2012,"Euro","millions",423623.2
"4027","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2014,2014,"Euro","millions",428350.86
"4029","Germany","Other service activities (ISIC rev4)",2009,2009,"Euro","millions",97417.35
"4031","Germany","Other service activities (ISIC rev4)",2011,2011,"Euro","millions",97407.68
"4033","Germany","Other service activities (ISIC rev4)",2013,2013,"Euro","millions",95907.76
"4035","Germany","Gross domestic product (output approach)",2008,2008,"Percentage","units",1.05210910408623
"4037","Germany","Gross domestic product (output approach)",2010,2010,"Percentage","units",4.09076731718312
"4039","Germany","Gross domestic product (output approach)",2012,2012,"Percentage","units",0.376484291283758
"4041","Germany","Gross domestic product (output approach)",2014,2014,"Percentage","units",1.60438067392471
"4043","Germany","Gross value added at basic prices, excluding FISIM",2009,2009,"Percentage","units",-6.14902580974488
"4045","Germany","Gross value added at basic prices, excluding FISIM",2011,2011,"Percentage","units",3.56000013809008
"4047","Germany","Gross value added at basic prices, excluding FISIM",2013,2013,"Percentage","units",0.105738695957391
"4049","Germany","Domestic demand",2008,2008,"Percentage","units",1.10431762286424
"4051","Germany","Domestic demand",2010,2010,"Percentage","units",2.96656470402861
"4053","Germany","Domestic demand",2012,2012,"Percentage","units",-0.938040288042026
"4055","Germany","Domestic demand",2014,2014,"Percentage","units",1.33828125295232
"4057","Germany","Exports of goods and services",2009,2009,"Percentage","units",-14.2674784450919
"4059","Germany","Exports of goods and services",2011,2011,"Percentage","units",8.00999955031391
"4061","Germany","Exports of goods and services",2013,2013,"Percentage","units",1.57586693916222
"4063","Germany","Gross value added at basic prices, total activity",2008,2008,"Percentage","units",1.14885631889631
"4065","Germany","Gross value added at basic prices, total activity",2010,2010,"Percentage","units",4.32968170052886
"4067","Germany","Gross value added at basic prices, total activity",2012,2012,"Percentage","units",0.453843115419322
"4069","Germany","Gross value added at basic prices, total activity",2014,2014,"Percentage","units",1.52679064247795
"4071","Germany","Households and Non-profit institutions serving households",2009,2009,"Percentage","units",0.0301900311794506
"4073","Germany","Households and Non-profit institutions serving households",2011,2011,"Percentage","units",2.27999983399137
"4075","Germany","Households and Non-profit institutions serving households",2013,2013,"Percentage","units",0.815850330388769
"4077","Germany","Gross fixed capital formation",2008,2008,"Percentage","units",1.22628770847352
"4079","Germany","Gross fixed capital formation",2010,2010,"Percentage","units",5.07512851750968
"4081","Germany","Gross fixed capital formation",2012,2012,"Percentage","units",-0.717547837270959
"4083","Germany","Gross fixed capital formation",2014,2014,"Percentage","units",3.2858086253083
"4085","Germany","Final consumption expenditure of households",2009,2009,"Percentage","units",-0.0402211594172468
"4087","Germany","Final consumption expenditure of households",2011,2011,"Percentage","units",2.31000009239668
"4089","Germany","Final consumption expenditure of households",2013,2013,"Percentage","units",0.806138367821061
"4091","Germany","Individual consumption expenditure of general government",2008,2008,"Percentage","units",3.87047695927561
"4093","Germany","Individual consumption expenditure of general government",2010,2010,"Percentage","units",1.64667543250091
"4095","Germany","Individual consumption expenditure of general government",2012,2012,"Percentage","units",1.0762234093276
"4097","Germany","Individual consumption expenditure of general government",2014,2014,"Percentage","units",1.72564172284266
"4099","Germany","of which: Manufacturing (ISIC rev4)",2009,2009,"Percentage","units",-19.322747092408
"4101","Germany","of which: Manufacturing (ISIC rev4)",2011,2011,"Percentage","units",8.94000098120983
"4103","Germany","of which: Manufacturing (ISIC rev4)",2013,2013,"Percentage","units",0.267429445412132
"4105","Germany","Exports of goods",2008,2008,"Percentage","units",1.34643756047593
"4107","Germany","Exports of goods",2010,2010,"Percentage","units",16.3873367627173
"4109","Germany","Exports of goods",2012,2012,"Percentage","units",2.69227215664714
"4111","Germany","Exports of goods",2014,2014,"Percentage","units",4.20420381140733
"4113","Germany","Imports of goods",2009,2009,"Percentage","units",-10.0924029245042
"4115","Germany","Imports of goods",2011,2011,"Percentage","units",7.879999577454
"4117","Germany","Imports of goods",2013,2013,"Percentage","units",2.0093456709854
"4119","Germany","Imports of services",2008,2008,"Percentage","units",1.19215944182756
"4121","Germany","Imports of services",2010,2010,"Percentage","units",8.15487566656215
"4123","Germany","Imports of services",2012,2012,"Percentage","units",3.23847888807132
"4125","Germany","Imports of services",2014,2014,"Percentage","units",-0.15537280919823
"4127","Germany","Exports of services",2009,2009,"Percentage","units",-0.294640607380057
"4129","Germany","Exports of services",2011,2011,"Percentage","units",3.58999819040447
"4131","Germany","Exports of services",2013,2013,"Percentage","units",3.10431644732274
"4133","Germany","Collective consumption expenditure of general government",2008,2008,"Percentage","units",2.51852088691838
"4135","Germany","Collective consumption expenditure of general government",2010,2010,"Percentage","units",0.684657927367557
"4137","Germany","Collective consumption expenditure of general government",2012,2012,"Percentage","units",1.54618586251901
"4139","Germany","Collective consumption expenditure of general government",2014,2014,"Percentage","units",0.108064524729098
"4141","Germany","Final consumption expenditure of non-profit institutions serving households",2009,2009,"Percentage","units",2.89688200284008
"4143","Germany","Final consumption expenditure of non-profit institutions serving households",2011,2011,"Percentage","units",1.21001265136454
"4145","Germany","Final consumption expenditure of non-profit institutions serving households",2013,2013,"Percentage","units",1.43675683262818
"4147","Germany","Final consumption expenditure of general government",2008,2008,"Percentage","units",3.36424384227543
"4149","Germany","Final consumption expenditure of general government",2010,2010,"Percentage","units",1.29659585264806
"4151","Germany","Final consumption expenditure of general government",2012,2012,"Percentage","units",1.24168022800179
"4153","Germany","Final consumption expenditure of general government",2014,2014,"Percentage","units",1.14942492464629
"4155","Germany","Imports of goods and services",2009,2009,"Percentage","units",-9.60008141983108
"4157","Germany","Imports of goods and services",2011,2011,"Percentage","units",7.15000031377537
"4159","Germany","Imports of goods and services",2013,2013,"Percentage","units",3.12704161086625
"4161","Germany","Final consumption expenditure",2008,2008,"Percentage","units",1.21274375999197
"4163","Germany","Final consumption expenditure",2010,2010,"Percentage","units",0.775975044210214
"4165","Germany","Final consumption expenditure",2012,2012,"Percentage","units",0.814763676223627
"4167","Germany","Final consumption expenditure",2014,2014,"Percentage","units",1.13998616359599
"4169","Germany","Gross domestic product (expenditure approach)",2009,2009,"Percentage","units",-5.63795313035069
"4171","Germany","Gross domestic product (expenditure approach)",2011,2011,"Percentage","units",3.59000007763312
"4173","Germany","Gross domestic product (expenditure approach)",2013,2013,"Percentage","units",0.105789500098695
"4175","Germany","Gross capital formation",2008,2008,"Percentage","units",0.720905904597819
"4177","Germany","Gross capital formation",2010,2010,"Percentage","units",12.2460443287756
"4179","Germany","Gross capital formation",2012,2012,"Percentage","units",-7.25258461505718
"4181","Germany","Gross capital formation",2014,2014,"Percentage","units",2.12403525252398
"4183","Germany","of which: Actual individual consumption",2009,2009,"Percentage","units",0.577800459036438
"4185","Germany","of which: Actual individual consumption",2011,2011,"Percentage","units",2.1000000567895
"4187","Germany","of which: Actual individual consumption",2013,2013,"Percentage","units",0.816722962349519
"4189","Germany","Agriculture, forestry and fishing (ISIC rev4)",2008,2008,"Percentage","units",19.7546619573385
"4191","Germany","Agriculture, forestry and fishing (ISIC rev4)",2010,2010,"Percentage","units",-23.9196739895568
"4193","Germany","Agriculture, forestry and fishing (ISIC rev4)",2012,2012,"Percentage","units",14.2707526918071
"4195","Germany","Agriculture, forestry and fishing (ISIC rev4)",2014,2014,"Percentage","units",7.06591442984398
"4197","Germany","Industry, including energy (ISIC rev4)",2009,2009,"Percentage","units",-15.2806359338112
"4199","Germany","Industry, including energy (ISIC rev4)",2011,2011,"Percentage","units",5.76000013456302
"4201","Germany","Industry, including energy (ISIC rev4)",2013,2013,"Percentage","units",0.205071249535746
"4203","Germany","Construction (ISIC rev4)",2008,2008,"Percentage","units",-0.135759067011024
"4205","Germany","Construction (ISIC rev4)",2010,2010,"Percentage","units",7.66580487916115
"4207","Germany","Construction (ISIC rev4)",2012,2012,"Percentage","units",0.0961659642672253
"4209","Germany","Construction (ISIC rev4)",2014,2014,"Percentage","units",2.83318886322306
"4211","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2009,2009,"Percentage","units",-5.80302967584203
"4213","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2011,2011,"Percentage","units",3.95999902942984
"4215","Germany","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2013,2013,"Percentage","units",0
"4217","Germany","Information and communication (ISIC rev4)",2008,2008,"Percentage","units",6.20987573552726
"4219","Germany","Information and communication (ISIC rev4)",2010,2010,"Percentage","units",0.260679913368718
"4221","Germany","Information and communication (ISIC rev4)",2012,2012,"Percentage","units",5.26220482165209
"4223","Germany","Information and communication (ISIC rev4)",2014,2014,"Percentage","units",2.21713762275347
"4225","Germany","Financial and insurance activities (ISIC rev4)",2009,2009,"Percentage","units",-6.382568672543
"4227","Germany","Financial and insurance activities (ISIC rev4)",2011,2011,"Percentage","units",0.759997349187715
"4229","Germany","Financial and insurance activities (ISIC rev4)",2013,2013,"Percentage","units",-1.48831916724118
"4231","Germany","Real estate activities (ISIC rev4)",2008,2008,"Percentage","units",2.20505234834217
"4233","Germany","Real estate activities (ISIC rev4)",2010,2010,"Percentage","units",-1.19553519942115
"4235","Germany","Real estate activities (ISIC rev4)",2012,2012,"Percentage","units",-2.00193223709994
"4237","Germany","Real estate activities (ISIC rev4)",2014,2014,"Percentage","units",1.21723794598897
"4239","Germany","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2009,2009,"Percentage","units",-10.473349549978
"4241","Germany","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2011,2011,"Percentage","units",2.18999832816151
"4243","Germany","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2013,2013,"Percentage","units",0.933941238054393
"4245","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2008,2008,"Percentage","units",2.76742894558334
"4247","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2010,2010,"Percentage","units",1.88487022194558
"4249","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2012,2012,"Percentage","units",1.0185912674926
"4251","Germany","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2014,2014,"Percentage","units",1.20517436079616
"4253","Germany","Other service activities (ISIC rev4)",2009,2009,"Percentage","units",-2.77187537614295
"4255","Germany","Other service activities (ISIC rev4)",2011,2011,"Percentage","units",0.660004753588443
"4257","Germany","Other service activities (ISIC rev4)",2013,2013,"Percentage","units",-1.59848988988336
"4260","Greece","Gross domestic product (output approach)",2009,2009,"Euro","millions",239245.446204
"4262","Greece","Gross domestic product (output approach)",2011,2011,"Euro","millions",206159.091946
"4264","Greece","Gross domestic product (output approach)",2013,2013,"Euro","millions",185108.078247
"4266","Greece","Gross value added at basic prices, excluding FISIM",2008,2008,"Euro","millions",219452.76192
"4268","Greece","Gross value added at basic prices, excluding FISIM",2010,2010,"Euro","millions",199645.359962
"4270","Greece","Gross value added at basic prices, excluding FISIM",2012,2012,"Euro","millions",171743.610252
"4272","Greece","Gross value added at basic prices, excluding FISIM",2014,2014,"Euro","millions",166240.742796
"4274","Greece","Gross value added at basic prices, total activity",2009,2009,"Euro","millions",211714.708511
"4276","Greece","Gross value added at basic prices, total activity",2011,2011,"Euro","millions",182114.636706
"4278","Greece","Gross value added at basic prices, total activity",2013,2013,"Euro","millions",165386.819362
"4280","Greece","of which: Manufacturing (ISIC rev4)",2008,2008,"Euro","millions",18736.072536
"4282","Greece","of which: Manufacturing (ISIC rev4)",2010,2010,"Euro","millions",15452.843391
"4284","Greece","of which: Manufacturing (ISIC rev4)",2012,2012,"Euro","millions",12748.604411
"4286","Greece","of which: Manufacturing (ISIC rev4)",2014,2014,"Euro","millions",12272.983423
"4288","Greece","Final consumption expenditure",2009,2009,"Euro","millions",221618.514639
"4290","Greece","Final consumption expenditure",2011,2011,"Euro","millions",187307.945235
"4292","Greece","Final consumption expenditure",2013,2013,"Euro","millions",168631.52444
"4294","Greece","Gross domestic product (expenditure approach)",2008,2008,"Euro","millions",250243.985931
"4296","Greece","Gross domestic product (expenditure approach)",2010,2010,"Euro","millions",226210.336391
"4298","Greece","Gross domestic product (expenditure approach)",2012,2012,"Euro","millions",192609.485913
"4300","Greece","Gross domestic product (expenditure approach)",2014,2014,"Euro","millions",186540.148206
"4302","Greece","External balance of goods and services",2009,2009,"Euro","millions",-25546.011145
"4304","Greece","External balance of goods and services",2011,2011,"Euro","millions",-13126.726497
"4306","Greece","External balance of goods and services",2013,2013,"Euro","millions",-5157.159148
"4308","Greece","Agriculture, forestry and fishing (ISIC rev4)",2009,2009,"Euro","millions",6201.008729
"4310","Greece","Agriculture, forestry and fishing (ISIC rev4)",2011,2011,"Euro","millions",6091.786548
"4312","Greece","Agriculture, forestry and fishing (ISIC rev4)",2013,2013,"Euro","millions",5564.377159
"4314","Greece","Industry, including energy (ISIC rev4)",2008,2008,"Euro","millions",26848.360763
"4316","Greece","Industry, including energy (ISIC rev4)",2010,2010,"Euro","millions",21682.547626
"4318","Greece","Industry, including energy (ISIC rev4)",2012,2012,"Euro","millions",17822.622771
"4320","Greece","Industry, including energy (ISIC rev4)",2014,2014,"Euro","millions",16271.756803
"4322","Greece","Construction (ISIC rev4)",2009,2009,"Euro","millions",8809.42149
"4324","Greece","Construction (ISIC rev4)",2011,2011,"Euro","millions",6915.326532
"4326","Greece","Construction (ISIC rev4)",2013,2013,"Euro","millions",4156.218585
"4328","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2008,2008,"Euro","millions",57393.871427
"4330","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2010,2010,"Euro","millions",48346.959256
"4332","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2012,2012,"Euro","millions",39929.418565
"4334","Greece","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",2014,2014,"Euro","millions",41543.490209
"4336","Greece","Information and communication (ISIC rev4)",2009,2009,"Euro","millions",8578.453533
"4338","Greece","Information and communication (ISIC rev4)",2011,2011,"Euro","millions",6642.360358
"4340","Greece","Information and communication (ISIC rev4)",2013,2013,"Euro","millions",6402.03393
"4342","Greece","Financial and insurance activities (ISIC rev4)",2008,2008,"Euro","millions",10242.924572
"4344","Greece","Financial and insurance activities (ISIC rev4)",2010,2010,"Euro","millions",9347.379828
"4346","Greece","Financial and insurance activities (ISIC rev4)",2012,2012,"Euro","millions",7558.15322
"4348","Greece","Financial and insurance activities (ISIC rev4)",2014,2014,"Euro","millions",6702.473318
"4350","Greece","Real estate activities (ISIC rev4)",2009,2009,"Euro","millions",31262.962272
"4352","Greece","Real estate activities (ISIC rev4)",2011,2011,"Euro","millions",35097.491571
"4354","Greece","Real estate activities (ISIC rev4)",2013,2013,"Euro","millions",34532.398873
"4356","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2008,2008,"Euro","millions",14233.820021
"4358","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2010,2010,"Euro","millions",10678.6468
"4360","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2012,2012,"Euro","millions",8685.70992
"4362","Greece","Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",2014,2014,"Euro","millions",7383.423868
"4364","Greece","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2009,2009,"Euro","millions",43016.590488
"4366","Greece","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2011,2011,"Euro","millions",41187.959216
"4368","Greece","Public admin.; compulsory s.s.; education; human health (ISIC rev4)",2013,2013,"Euro","millions",36496.654006
"4370","Greece","Other service activities (ISIC rev4)",2008,2008,"Euro","millions",9857.247541
"4372","Greece","Other service activities (ISIC rev4)",2010,2010,"Euro","millions",8279.380525
"4374","Greece","Other service activities (ISIC rev4)",2012,2012,"Euro","millions",7484.600621
"4376","Greece","Other service activities (ISIC rev4)",2014,2014,"Euro","millions",7460.07069
"4378","Greece","Gross domestic product (output approach)",2009,2009,"Percentage","units",-4.3948032798406
"4380","Greece","Gross domestic product (output approach)",2011,2011,"Percentage","units",-8.86367431134839
"4382","Greece","Gross domestic product (output approach)",2013,2013,"Percentage","units",-3.89511616069758
